,region,model,name,litter,wifi,color,dry,date,pdf
,CZ,3626151,Velis Evo Inox 50 EU,45,,white,,Jul 2015,velis-evo-inox-cz-3626151-3626152-3626153.pdf
,CZ,3626152,Velis Evo Inox 80 EU,65,,white,,Jul 2015,
,CZ,3626153,Velis Evo Inox 100 EU,80,,white,,Jul 2015,
,IT,3626145,Velis Evo 50 EU,45,,white,,Jan 2016,velis-evo-it-3626145-3626146-3626147.pdf
,IT,3626146,Velis Evo 80 EU,65,,white,,Jan 2016,
,IT,3626147,Velis Evo 100 EU,85,,white,,Jan 2016,
,FR,3623376,Velis Evo 45,45,,white,,Nov 2016,velis-evo-fr-3623376-3626154-3626155.pdf
,FR,3626154,Velis Evo 65,65,,white,,Nov 2016,
,FR,3626155,Velis Evo 80,80,,white,,Nov 2016,
,BE,3626148,Velis Evo Plus 50,45,,white,,Mar 2016,velis-evo-plus-be-3626148-3626149-3626150.pdf
,BE,3626149,Velis Evo Plus 80,65,,white,,Mar 2016,
,BE,3626150,Velis Evo Plus 100,80,,white,,Mar 2016,
,FR,3623377,Velis Evo Plus 45,45,,metal/grey,,Nov 2016,velis-evo-plus-fr-3623377-3626156-3626157.pdf
,FR,3626156,Velis Evo Plus 65,65,,metal/grey,,Nov 2016,
,FR,3626157,Velis Evo Plus 80,80,,metal/grey,,Nov 2016,
,DE,3626178,Velis Evo Wi-Fi 50 EU,45,yes,metal/grey,,Nov 2016,
,DE,3626179,Velis Evo Wi-Fi 80 EU,65,yes,metal/grey,,Nov 2016,
,DE,3626180,Velis Evo Wi-Fi 100 EU,80,yes,metal/grey,,Nov 2016,
,CZ,3626323,Velis Evo Wifi 50 EU,45,yes,metal/grey,,May 2017,velis-evo-wifi-de-3626323-3626324-3626325.pdf
,CZ,3626324,Velis Evo Wifi 80 EU,65,yes,metal/grey,,May 2017,
,CZ,3626325,Velis Evo Wifi 100 EU,80,yes,metal/grey,,May 2017,
,UK,3626305,Velis Evo 45,45,,white,,Oct 2019,velis-evo-uk-3626305-3626305.pdf
,UK,3626306,Velis Evo 80,80,,white,,Oct 2019,
,UK,3626307,Velis Evo Wifi 45,45,yes,metal/grey,,Oct 2019,velis-evo-wifi-uk-3626307-3626308.pdf
,UK,3626308,Velis Evo Wifi 80,80,yes,metal/grey,,Oct 2019,
,FR,3626264,Velis Evo Dry 50 EU,45,,white,yes,,velis-evo-dry-fr-3626264-3626265-3626266.pdf
,FR,3626265,Velis Evo Dry 80 EU,65,,white,yes,,
,FR,3626266,Velis Evo Dry 100 EU,80,,white,yes,,
,BE/FR,3626243,Velis Evo Dry 45 FR EU,45,,white,yes,Dec 2019,velis-evo-dry-fr-3626243-3626244-3626245.pdf
,BE/FR,3626244,Velis Evo Dry 65 FR EU,65,,white,yes,Dec 2019,
,BE/FR,3626245,Velis Evo Dry 80 FR EU,80,,white,yes,Dec 2019,
,FR,3626246,Velis Evo Dry Wifi 65 L,65,,metal/grey,yes,Dec 2019,velis-evo-dry-fr-wifi-3626246-3626247.pdf
,FR,3626247,Velis Evo Dry Wifi 80 L,80,,metal/grey,yes,Dec 2019,
,FR,3623378,Velis Evo Dry Wifi 65 FR EU,65,,metal/grey,yes,,
,FR,3623379,Velis Evo Dry Wifi 80 FR EU,80,,metal/grey,yes,,
